,Authors,Quotes,Likes,tags
4,"John Joseph Powell,","“It is an absolute human certainty that no one can know his own beauty or perceive a sense of his own worth until it has been reflected back to him in the mirror of another loving, caring human being.”",1462,"['affection,', 'alone,', 'beauty,', 'camaraderie,', 'caring,', 'caring-for-others,', 'closeness,', 'companionship,', 'compassion,', 'connectedness,', 'connection,', 'disconnection,', 'empathy,', 'estrangement,', 'fellowship,', 'friendship,', 'friendship-quotes,', 'hug,', 'hugs,', 'intimacy,', 'isolation,', 'kindness,', 'kindred-spirits,', 'loneliness,', 'love,', 'love-at-first-sight,', 'love-quotes,', 'lovers,', 'loving,', 'loving-someone,', 'mirror,', 'mutuality,', 'partnership,', 'reciprocal,', 'reciprocity,', 'reflected-in-you,', 'relationship,', 'relationship-quotes,', 'relationships,', 'romance,', 'self-belief,', 'self-esteem,', 'self-hatred,', 'self-realization,', 'self-worth,', 'self-worthiness,', 'soul-mate,', 'soulmates,', 'togetherness,', 'touch,', 'twin-flames']"
5,"John Green,","“I wanted to be one of those people who have streaks to maintain, who scorch the ground with their intensity. But for now, at least I knew such people, and they needed me, just like comets need tails.”",1461,"['disciple,', 'friendship']"
6,"David Levithan,",“We always see our worst selves. Our most vulnerable selves. We need someone else to get close enough to tell us we’re wrong. Someone we trust.”,1419,"['friendship,', 'love,', 'reflection,', 'trust']"
7,"Toni Morrison,","“She is a friend of my mind. She gather me, man. The pieces I am, she gather them and give them back to me in all the right order.”",1414,"['friendship,', 'love']"
8,"Charles Dickens,",“The pain of parting is nothing to the joy of meeting again.”,1372,"['friendship,', 'joy,', 'pain']"
9,"Jim Butcher,","“I don't care about whose DNA has recombined with whose. When everything goes to hell, the people who stand by you without flinching--they are your family.”",1339,"['dresden,', 'family,', 'friends,', 'friendship']"
10,"A.A. Milne,","“I wonder what Piglet is doing,"" thought Pooh.",1328,"['friendship,', 'piglet,', 'pooh']"
11,"Marissa Meyer,","“I knew they would kill me when they found out, but…” He struggled for words, releasing a sharp breath. “I think I realized that I would rather die because I betrayed them, than live because I betrayed you.”",1320,"['betrayal,', 'choice,', 'emotions,', 'friendship,', 'love,', 'scarlet,', 'wolf']"
12,"O. Henry,",“No friendship is an accident. ”,1304,['friendship']
13,"E.B. White,",“It is not often that someone comes along who is a true friend and a good writer.”,1295,"['friend,', 'friendship,', 'writers']"
14,Diane Von Furstenberg,“When a woman becomes her own best friend life is easier.”,1293,"['friendship,', 'life,', 'self-love,', 'women']"
15,"Jess C Scott,","“Friends are the family you choose (~ Nin/Ithilnin, Elven rogue).”",1254,"['cyberpunk,', 'elven,', 'elves,', 'family,', 'friends,', 'friendship,', 'human-behavior,', 'human-nature,', 'humanity,', 'humankind,', 'humans,', 'inside-ourselves,', 'insight,', 'insightful,', 'life,', 'life-lessons,', 'love,', 'meaning,', 'meaning-of-life,', 'nq-mobile-omar-khan,', 'omar-khan-nq-mobile,', 'reflection,', 'reflective,', 'social-commentary,', 'social-issues,', 'social-science,', 'society,', 'truth,', 'urban-fantasy,', 'urban-fantasy-series,', 'ya-urban-fantasy,', 'young-adult,', 'young-adult-fiction,', 'young-adult-literature,', 'young-adult-novels,', 'young-adult-series']"
16,"Leigh Bardugo,","“Have any of you wondered what I did with all the cash Pekka Rollins gave us?""",1192,"['crooked-kingdom,', 'friendship,', 'humor,', 'inej,', 'jesper,', 'kaz,', 'matthias,', 'nina,', 'wylan']"
17,Henry David Thoreau,"“The greatest compliment that was ever paid me was when one asked me what I thought, and attended to my answer.”",1174,['friendship']
18,"Mario Puzo,",“Friendship is everything. Friendship is more than talent. It is more than the government. It is almost the equal of family.- Don Corleone”,1166,['friendship']
19,"Ally Carter,",“the only way Bex would miss this would be if she were unconscious. And tied up. And in a concrete bunker. In Siberia.”,1140,"['friendship,', 'humour,', 'loyalty']"
20,"Maya Angelou,",“A friend may be waiting behind a stranger's face.”,1136,['friendship']
21,Vincent van Gogh,"“Close friends are truly life's treasures. Sometimes they know us better than we know ourselves. With gentle honesty, they are there to guide and support us, to share our laughter and our tears. Their presence reminds us that we are never really alone.”",1131,"['friends,', 'friendship']"
22,Henry David Thoreau,“Nothing makes the earth seem so spacious as to have friends at a distance; they make the latitudes and longitudes.”,1116,['friendship']
23,Richard Bach,“Your friends will know you better in the first minute you meet than your acquaintances will know you in a thousand years.”,1113,"['friendship,', 'understanding']"
24,"Tahereh Mafi,","“Are you out of your goddamn mind? You think we can take on two hundred soldiers? I know I am an extremely attractive man, J, but I am not Bruce Lee.”",1111,"['friendship,', 'ignite-me,', 'juliette-ferrars,', 'kenji-kishimoto']"
25,Nicole Richie,"“It's hard to tell who has your back, from who has it long enough just to stab you in it....”",1108,"['betrayal,', 'friendship']"
26,Mahatma Gandhi,“It is easy enough to be friendly to one's friends. But to befriend the one who regards himself as your enemy is the quintessence of true religion. The other is mere business.”,1100,"['compassion,', 'enemies,', 'friends,', 'friendship,', 'religion']"
27,Socrates,"“Be slow to fall into friendship, but when you are in, continue firm and constant.”",1083,['friendship']
28,"Richelle Mead,","“Because I can't help doing it,"" he said with a shrug. ""And hey, if I keep loving you, maybe you'll eventually crack and love me too. Hell, I'm pretty sure you're already half in love with me.""",1072,"['adrian-ivashkov,', 'angst,', 'friendship,', 'humor,', 'love,', 'relationships,', 'richelle-mead']"
29,Albert Einstein,"“However rare true love may be, it is less so than true friendship.”",1049,['friendship']
